gyrx(deg/s),gyry(deg/s),gyrz(deg/s),accx(g),accy(g),accz(g)
-1.037,2.439,-0.976,0.636,0.425,0.485
-0.732,2.744,-1.098,0.644,0.433,0.486
-0.549,2.866,-1.585,0.643,0.439,0.484
-0.793,3.232,-2.317,0.644,0.432,0.492
-0.854,3.537,-3.11,0.642,0.431,0.503
-0.671,3.841,-3.902,0.652,0.393,0.499
-0.793,3.902,-4.39,0.647,0.432,0.473
-0.915,3.963,-4.939,0.6,0.412,0.494
-0.671,3.72,-5.305,0.593,0.434,0.486
-0.122,3.598,-5.976,0.625,0.438,0.475
0.183,3.78,-7.317,0.646,0.442,0.485
0.305,3.963,-9.146,0.632,0.451,0.501
0.183,4.085,-11.159,0.619,0.449,0.509
0.366,4.268,-12.866,0.616,0.446,0.511
0.244,4.146,-14.207,0.609,0.448,0.513
0.061,4.39,-15.488,0.602,0.448,0.511
-0.305,4.512,-17.073,0.595,0.438,0.513
-0.427,4.573,-18.598,0.586,0.429,0.511
-0.427,4.573,-19.695,0.59,0.426,0.505
-0.305,4.451,-20.427,0.597,0.43,0.491
-1.768,4.451,-21.098,0.607,0.43,0.476
-2.317,4.695,-21.707,0.615,0.415,0.462
-3.232,3.841,-21.463,0.614,0.403,0.449
-5,2.805,-21.463,0.6,0.399,0.434
-6.585,2.317,-21.524,0.578,0.393,0.429
-7.988,1.89,-21.768,0.548,0.398,0.429
-8.963,1.524,-21.951,0.521,0.405,0.423
-9.878,1.463,-22.317,0.498,0.406,0.42
-10.488,1.463,-22.805,0.48,0.399,0.411
-10.854,1.524,-23.049,0.462,0.403,0.409
-10.61,1.585,-23.415,0.458,0.396,0.422
-9.817,1.524,-23.659,0.456,0.392,0.423
-8.476,1.524,-23.841,0.458,0.376,0.415
-7.744,1.22,-24.512,0.447,0.355,0.416
-6.524,1.037,-25.366,0.436,0.347,0.411
-5.366,1.159,-26.098,0.433,0.348,0.396
-4.817,0.976,-26.707,0.436,0.333,0.387
-4.39,0.854,-26.829,0.43,0.299,0.376
-4.512,0.61,-26.524,0.416,0.27,0.37
-5.549,0.183,-25.732,0.404,0.253,0.374
-7.012,-0.244,-24.939,0.395,0.244,0.368
-9.512,-0.549,-24.268,0.399,0.25,0.344
-12.927,-0.854,-23.78,0.397,0.258,0.319
-16.524,-1.28,-23.72,0.388,0.256,0.311
-20.183,-1.524,-23.78,0.377,0.241,0.31
-23.963,-2.012,-23.963,0.375,0.223,0.313
-27.134,-2.134,-24.268,0.373,0.203,0.317
-29.146,-2.256,-24.634,0.372,0.188,0.311
-30.915,-2.439,-25.305,0.384,0.199,0.307
-31.341,-2.988,-25.915,0.39,0.203,0.305
-30.854,-3.78,-26.89,0.401,0.197,0.308
-29.756,-4.512,-27.927,0.407,0.193,0.314
-28.476,-5.427,-28.598,0.412,0.201,0.307
-26.89,-6.707,-29.146,0.424,0.196,0.298
-25.793,-7.988,-29.634,0.436,0.189,0.297
-25.915,-8.963,-30.427,0.446,0.177,0.294
-27.683,-10.305,-31.585,0.437,0.151,0.314
-30.976,-11.646,-33.537,0.455,0.115,0.33
-35.122,-12.866,-35.793,0.444,0.14,0.34
-40.183,-14.207,-37.988,0.439,0.117,0.337
-45.61,-15.366,-40.183,0.446,0.093,0.325
-50.732,-16.524,-42.317,0.455,0.086,0.305
-55.366,-17.378,-44.939,0.464,0.057,0.287
-59.024,-18.049,-47.317,0.511,0.037,0.253
-62.195,-18.415,-50,0.504,-0.019,0.228
-64.451,-18.963,-52.866,0.5,-0.058,0.22
-65.976,-19.39,-56.524,0.482,-0.104,0.208
-67.134,-19.573,-60.183,0.493,-0.15,0.198
